source,author,title,description,url,publishedAt,content,Date,Open,High,Low,Close,Adj Close,Volume
Nakedcapitalism.com,Yves Smith,Rob Urie: Failed US Economic Policies Lie Behind Current Geopolitical Tensions,How US fealty to neoliberalism undermined its economy. And why China's choices are not likely to produce happy outcomes.,https://www.nakedcapitalism.com/2024/10/rob-urie-failed-us-economic-policies-lie-behind-current-geopolitical-tensions.html,2024-10-08 10:15:53+00:00,Yves here. Rob Urie was so gracious as to provide an overview to his piece on how the US cooked its own goose with its embrace of neoliberalism. Not that a happy ending is likely for the rest of the … [+28273 chars],8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
CNET,Bree Fowler,More Than A Dozen States Sue TikTok Saying It's Addictive to Kids,"The group of state attorney generals accuse TikTok of causing teen mental health problems pointing to dangerous ""challenges"" and use of beauty filters.",https://www.cnet.com/news/social-media/more-than-a-dozen-states-sue-tiktok-saying-its-addictive-to-kids/,2024-10-08 16:45:24+00:00,A coalition of more than a dozen states on Tuesday filed individual lawsuits against TikTok charging that the social media platform is deliberately designed to addict children and is harmful to their… [+4094 chars],8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
BBC News,Rupert Wingfield Hayes and Yvette Tan - BBC News,N Korea's Kim calls Putin 'closest comrade',Kim said relations between North Korea and Russia would be raised to a new level.,https://www.bbc.com/news/articles/cq64qm2v7m9o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,2024-10-08 09:33:51+00:00,"North Korean leader Kim Jong Un has sent a birthday message to Russian President Vladimir Putin, calling him his ""closest comrade"".
Kim, congratulating Putin on his 72nd birthday, added that relatio… [+2342 chars]",8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
International Business Times,AFP News,China Says Raised 'Serious Concerns' With US Over Trade Curbs,"The United States and China on Tuesday raised concerns about trade between the world's two biggest economies, with China's commerce minister urging Washington to lift sanctions on his country's firms ""as soon as possible"".",https://www.ibtimes.com/china-says-raised-serious-concerns-us-over-trade-curbs-3745986,2024-10-08 18:51:17+00:00,"The United States and China on Tuesday raised concerns about trade between the world's two biggest economies, with China's commerce minister urging Washington to lift sanctions on his country's firms… [+2891 chars]",8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
CBC News,Unknown,"Canada could help balance the scales with China as tensions rise in South China Sea, experts say","Prime Minister Justin Trudeau has an opening during a summit with regional leaders in Laos this week to step up Canada's contributions to help Southeast Asian countries facing escalating threats from China, according to experts.",https://www.cbc.ca/news/politics/trudeau-opening-2024-asean-summit-contributions-1.7341125,2024-10-08 08:00:00+00:00,Prime Minister Justin Trudeau has an opening during this week's summit with regional leaders in Laos to step up Canada's efforts to help Southeast Asian countries facing escalating threats from China… [+6100 chars],8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
CNA,Unknown,China says raised 'serious concerns' with US over trade curbs,"BEIJING: The United States and China on Tuesday (Oct 8) raised concerns about trade between the world's two biggest economies, with China's commerce minister urging Washington to lift sanctions on his",https://www.channelnewsasia.com/east-asia/china-says-raised-serious-concerns-us-over-trade-curbs-4666706,2024-10-08 19:38:11+00:00,"Recent tariff hikes targeting US$18 billion in Chinese goods came weeks before November's US presidential election, with both Democrats and Republicans pushing a hard line as competition between Wash… [+865 chars]",8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
The Diplomat,Shannon,How the US Election Could Affect New Zealand Foreign Policy,Decisions made in Washington will also have a direct impact on Wellington.,https://thediplomat.com/2024/10/how-the-us-election-could-affect-new-zealand-foreign-policy/,2024-10-08 13:37:19+00:00,Change is coming to the United States. Next months elections are likely to pave the way for an overhaul of U.S. foreign policy regardless of whether former President Donald Trump or current Vice Pres… [+18350 chars],8/10/2024,184.9600067,186.5399933,182.0299988,186.0500031,186.0500031,10394200
Business Insider,Matthew Loh,"Taiwan's president is doubling down on sticking it to Beijing, saying China can't be the 'motherland' because its government is younger","Lai said at a National Day celebration that Taiwan's government was celebrating its 113th birthday, while Beijing's just celebrated its 75th.",https://www.businessinsider.com/taiwans-president-says-china-younger-lai-ching-te-motherland-2024-10,2024-10-07 05:21:08+00:00,"Taiwan's president, Lai Ching-te, has increasingly challenged the arguments and rhetoric that Beijing has used for years to promote Taiwan as its sovereign territory.Annabelle Chih/Getty Images
<ul>… [+3949 chars]",7/10/2024,181.6000061,185,180.9299927,184.5099945,184.5099945,12054200
Sputnikglobe.com,Sputnik International,China Asks US Not to Interfere With Its Right to Develop Ties With Hungary - Embassy,"WASHINGTON (Sputnik) - The United States should not interfere with China's right to develop relations with the government of Hungary, the Chinese Embassy in Washington told Sputnik after US lawmakers lambasted Budapest for growing ties with Beijing.",https://sputnikglobe.com/20241007/china-asks-us-not-to-interfere-with-its-right-to-develop-ties-with-hungary---embassy-1120462372.html,2024-10-07 17:08:34+00:00,"The delegation of US senators that visited Hungary included senators Jerry Moran, Susan Collins, John Cornyn, John Boozman and John Hoeven.",7/10/2024,181.6000061,185,180.9299927,184.5099945,184.5099945,12054200
RT,RT,Russia and China oppose West’s attempts to maintain dominance – Lavrov,"Moscow and Beijing look to rebalance the global power structure by promoting multipolarity, the Russian foreign minister has said Read Full Article at RT.com",https://www.rt.com/russia/605370-lavrov-russia-china-multipolar-world/,2024-10-07 13:46:49+00:00,"The world is going through a “multipolar moment” and the West’s attempts to maintain its dominance are undermining peace, Russian Foreign Minister Sergey Lavrov said in an interview with Newsweek pub… [+2421 chars]",7/10/2024,181.6000061,185,180.9299927,184.5099945,184.5099945,12054200
